City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Hervey Bay,AU,85.03,light rain,-25.3,152.85,Shelly Bay Resort
121,Bengkulu,ID,78.15,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
131,Belmonte,BR,75.7,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
132,Sri Aman,MY,75.25,scattered clouds,1.24,111.46,Seri Simanggang Hotel
136,Samarai,PG,84.07,overcast clouds,-10.62,150.67,Nuli Sapi
139,Niamey,NE,75.49,clear sky,13.51,2.11,Soluxe Hotel Niamey
142,San Patricio,US,76.98,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
144,Codrington,AU,77.23,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
145,Nabire,ID,87.51,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
146,Quelimane,MZ,80.55,clear sky,-17.88,36.89,Hotel Flamingo
147,Bubaque,GW,81.34,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
148,Saint-Joseph,RE,75.56,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
151,Grand Gaube,MU,77.4,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
153,Vanimo,PG,86.41,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
155,Itarema,BR,81.14,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
161,Emerald,AU,81.34,moderate rain,-23.53,148.17,The Irish Village
162,Faanui,PF,81.34,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
165,Yenagoa,NG,77.47,overcast clouds,4.92,6.26,Amba Hotels Limited
171,Ugoofaaru,MV,82.24,clear sky,5.67,73.0,Ungoofaaru Inn
173,Yulara,AU,78.64,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
180,Kieta,PG,83.89,light rain,-6.22,155.63,Uruna Bay Retreat
181,Amalapuram,IN,77.38,few clouds,16.58,82.02,swayamprabha service apartments
183,Sao Filipe,CV,75.29,few clouds,14.9,-24.5,Hotel Xaguate
187,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.17,Aviador Hotel Boutique
188,Souillac,MU,77.38,scattered clouds,-20.52,57.52,Bils' Villa
189,La Asuncion,VE,80.33,broken clouds,11.03,-63.86,Colinas de Matasiete
196,Puerto Escondido,MX,83.23,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
